IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
1090059;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1090062;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;SC
1090065;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;SP
1090066;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;SP
1090078;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SC
1090085;Pessoa Fisica;Feminino;Pos-graduacao;Professor;SP
1090086;Pessoa Fisica;Masculino;Ensino Superior ;Outra;SP
1090090;Pessoa Fisica;Feminino;Ensino Superior ;Outra;SP
1090094;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;SP
1090099;Pessoa Fisica;Feminino;Ensino Medio;Estudante;AM
1090100;Pessoa Fisica;Feminino;Ensino Medio;Estudante;DF
1090102;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;SP
1090111;Pessoa Fisica;Masculino;Mestrado/Doutorado;Estudante;RJ
1090118;Pessoa Fisica;Masculino;Pos-graduacao;Professor;SP
1090127;Pessoa Fisica;Feminino;Ensino Superior ;Outra;MG
1090134;Pessoa Fisica;Feminino;Ensino Medio;Outra;RN
1090135;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;MT
1090151;Pessoa Fisica;Masculino;Ensino Medio;Estudante;CE
1090154;Pessoa Fisica;Masculino;Ensino Medio;Outra;MG
1090156;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;SP
1090174;Pessoa Fisica;Feminino;Ensino Superior ;Jornalista;SP
1090177;Pessoa Fisica;Masculino;Pos-graduacao;Empregado - setor privado;SP
1090183;Pessoa Fisica;Feminino;Pos-graduacao;Professor;RJ
1090185;Pessoa Fisica;Feminino;Pos-graduacao;Empregado - setor privado;DF
1090187;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;DF
1090190;Pessoa Fisica;Feminino;Pos-graduacao;Jornalista;PE
