IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
1091346;Pessoa Fisica;Masculino;Mestrado/Doutorado;Professor;MG
1091347;Pessoa Fisica;Feminino;Ensino Superior ;Pesquisador;DF
1091353;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SC
1091356;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico estadual;SP
1091357;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;SP
1091358;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico estadual;DF
1091361;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;RJ
1091368;Pessoa Fisica;Masculino;Pos-graduacao;Empregado - setor privado;MG
1091369;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;MG
1091374;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;GO
1091379;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;RJ
1091385;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico municipal;PR
1091389;Pessoa Fisica;Masculino;Ensino Medio;Estudante;DF
1091390;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;RS
1091394;Pessoa Fisica;Feminino;Pos-graduacao;Estudante;DF
1091396;Pessoa Fisica;Masculino;Ensino Medio;Estudante;PI
1091400;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;MG
1091401;Pessoa Fisica;Feminino;Ensino Superior ;Pesquisador;RS
