IdSolicitante,TipoDemandante,Sexo,Escolaridade,Profissao,UF
1035956,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,AL
1035971,Pessoa Física,Masculino,Pós-graduação,Servidor público federal,ES
1035972,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,DF
1035973,Pessoa Física,Masculino,Ensino Superior ,Outra,PB
1035977,Pessoa Física,Feminino,Ensino Superior ,Estudante,SP
1035982,Pessoa Física,Masculino,Ensino Superior ,Servidor público estadual,GO
1035985,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,RS
1035996,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,PI
1035997,Pessoa Física,Feminino,Ensino Superior ,Outra,SP
1036006,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,BA
1036014,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,RJ
1036018,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,MG
1036024,Pessoa Física,Feminino,Ensino Superior ,Servidor público estadual,MS
1036025,Pessoa Física,Masculino,Pós-graduação,Empregado - setor privado,SP
1036030,Pessoa Física,Masculino,Mestrado/Doutorado,Pesquisador,PA
1036031,Pessoa Física,Masculino,Ensino Médio,Empresário/empreendedor,MT
1036032,Pessoa Física,Masculino,Ensino Médio,Servidor público municipal,BA
1036036,Pessoa Física,Feminino,Pós-graduação,Servidor público federal,RS
1036041,Pessoa Física,Masculino,Ensino Superior ,Estudante,SP
1036044,Pessoa Física,Feminino,Ensino Superior ,Estudante,DF
1036046,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,PR
1036051,Pessoa Física,Feminino,Pós-graduação,Outra,PR
1036059,Pessoa Física,Feminino,Ensino Superior ,Servidor público federal,PE
1036060,Pessoa Física,Feminino,Ensino Médio,Outra,RJ
1036065,Pessoa Física,Masculino,Ensino Médio,Empresário/empreendedor,ES
1036067,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,RJ
1036070,Pessoa Física,Feminino,Ensino Superior ,Estudante,PR
1036073,Pessoa Física,Masculino,Ensino Superior ,Jornalista,SP
1036074,Pessoa Física,Feminino,Ensino Superior ,Professor,PR
1036081,Pessoa Física,Feminino,Ensino Fundamental,Outra,SP
1036083,Pessoa Física,Masculino,Pós-graduação,Empregado - setor privado,SC
1036084,Pessoa Física,Masculino,Ensino Superior ,Estudante,DF
1036086,Pessoa Física,Masculino,Ensino Superior ,Pesquisador,SC
